No.,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21
1.0,163.55493543792608,3.8875278559618143,4.364684558058155,0.16258669702037382,5.84337856439358,0.16845553895209284,0.0009058672323136829,2.243250841529206,0.7602795969443639,0.0007487382762338785,3.3548081272179604e-05,2.0123257927943676,0.0017380596091116224,6.842575193770756e-05,0.001559985760504793,81.31709931977359,5923.440989474903,576.4949621863923,651.8011716090937,7423.1160662179445
2.0,163.6644024651213,3.5786455749240904,5.211171646998527,0.11465238971942085,6.3327353783772296,0.1913802499744211,0.0012731771506258108,2.2577743694078762,0.8381515766883219,0.0007775676336413861,1.4281597734234387e-05,2.0452871602926463,0.0020247843302370738,7.229866469558715e-05,0.0013514838121156403,74.99785192036823,5666.8662938032185,830.3115531531217,569.8857358326864,5575.890263153164
3.0,158.20820416654303,3.0896921827824486,5.119871677851476,0.15781655469834144,4.5027938856624425,0.21919784506004694,0.0006127639398576554,2.2979989634573643,0.8344025076186169,0.000703554302263518,2.710424917125207e-05,2.1800224287313914,0.0020201986051409607,8.706491534377788e-05,0.0011795591204988266,81.71968356743666,5931.196788589529,853.7630741936804,661.5331693595142,3724.03054086887
4.0,187.39585414795346,3.071761449264657,4.260222688310095,0.08570543553801717,4.654998016861752,0.18839949306162038,0.00012984094129593946,2.0724371492271882,0.901147710960509,0.0006792019323888452,2.7536804978556437e-05,2.3202062755961372,0.002426863675293873,7.441330761637502e-05,0.002101871943314427,74.54816815464177,4774.733409385477,1021.5655388899006,638.4269628002955,5648.876714869175
